Well Name,Well Name Cleaned,UWI
b-74-A/94-B-8 - Gt - PnP,b-74-A/94-B-8-Gt-PnP,200/a-075-A/094-B-08/0
c-64-H/94-B-8 - C4 - PnP,c-64-H/94-B-8-C4-PnP,200/c-085-H/094-B-08/0
P7-1-85-26W6 - C2 - PnP,P7-1-85-26W6-C2-PnP,205/c-021-H/094-B-08/2
