Gas ID,Initial Flow Date
09B44449949C4E45A419A58A571CCA14,2018-03-14
393EA3DF02DD42AFACD27556745AA581,2018-03-14
61D05F72069847A2A2C08ACFCF8BB197,2018-03-07
E6CE6EF4B07B403E830CCC91BF16641D,2018-03-07
0C9B7A8034724C89A97447F2ACC5635C,2018-06-20
C98E538A9CAF43E7956D9C0561857648,2018-09-18
6B12546124C743E79EBAB2C85A4D6677,2018-09-13
0423CC0B61204E5C91F4333613A7870C,2018-11-10
454F2618DDE54A10B48B6108713A9D4E,2018-09-13
4517398F2CB344F6AC8F22C344F8F367,2018-09-13
F79576AF27934EB89D61A6DBA7F52D8C,2018-03-01
B6124D4A11FE403DA595F3BCCC247395,2018-03-01
EFBC93313A814D25BFC7BD596E13108D,2018-03-01
A65A608868BE40098237621BC911BA73,2018-03-01
E09DFA3670434C0B988CF5768D932FE5,2018-03-01
F1996E0EB8CE4C6D9B617EB4EE195C82,2019-04-15
674A75BD432544BC849DD8141DBF56F5,2019-04-15
9BA21BDEC8C341F9AE1280403A7E0949,2019-07-19
178C7E8A12D743B7AD42CADF2E10D23F,2019-04-15
356FC02C6C7B40B494F0A58DE4FF2209,2019-08-06
4B38D0B0F65F41FC98E0D9C10FE72C52,2019-08-05
AE61B096642F4408B9ACC884894924B5,2019-08-25
32E741F9186648D791D2728F04088EAD,2019-08-22
A876BAE3DB244B20B66ECE660332AD83,2019-08-27
2D274CF8CCE54EFD9E7635408619853D,2019-08-22
BA02665047794BE59817603D869E2A9E,2019-08-27
5789078934AF47A4B443479E36C0BF16,2020-01-03
BF288710A9234AF79DC1C17A5A376827,2020-01-03
F243AEF925BB4B25B4908016A61FAE8A,2020-01-03
6BAC3C89F4DC4F7AB789CDBE9BDC8EA3,2020-08-07
F558F8BD427441828B76ABD7BE7DFDA8,2020-08-07
869AB20F0F664F92837932B20A21D577,2020-08-08
441C8A0B3C96408D97556330C8D0BB5D,2020-08-08
886EFB8207A04F329A3C2A8E87687FD5,2021-02-09
EC7FDF64BF5142DA84ABFE45346C5715,2021-02-09
5EE75A74738544659E2E9D89B090FA9B,2021-02-12
F10F5ACBAAB049ABB7951A9ADA700225,2021-02-14
0CEE60E91623491ABAF3690E73F9F71F,2021-03-21
D50C3181298A4802A8DBE97759374623,2021-03-21
F554C760991A474F811D4FE3718FC4A5,2021-03-21
EFDBBF8BC9C7423B9FDFF69B65F3555D,2021-03-24
BDB056D9715B486EBFE48A4A15BAA437,2021-08-11
F423D3AE2FEF4E038F9FA63F184B9715,2021-08-11
52EA49EC00D8408483BD7A3748B8C955,2021-08-13
E74E3350240F42AA91943476448AAF75,2021-08-13
2F73576FCF11462DB49D515908D6CB6A,2021-08-28
9B605D41202842EAADF343F6ADA0CE74,2021-08-28
478DF3A152824DBF9F66AAAB7F1FA91B,2021-08-27
9921A3D80A3B47D48912086E1202D9A2,2021-08-23
1E9BFA008FF4424B9AF8DCE369983BE2,2021-08-28
B7115475EA834EF8BB24CDFAF5AA2656,2022-03-22
AA0F058EC8184EF1AE1C9392D01D72A1,2022-03-23
BADFF4675781420287376AC2D3EC4B0F,2022-03-24
E13C9620CCB94B799ED9E178753675C7,2022-03-21
FE681158BE724ACEBC60CAA6E54C093E,2022-03-17
959AD57129144B078023E42DE999A5DA,2022-03-23
EB1CF9838449465B81BC9C2E44FECCF8,2022-03-20
906F1C01CD7546FABD16A94AE88B5334,2022-03-19
BDDEED442978451CA564DDE40A6A9394,2022-03-22
08886F245062435CA0A4E8F1F9446DAE,2022-03-19
43B26EF73FA944C78E24214A8CFADB13,2022-03-24
7C5CDC743EAC4DA8B26AB71F43FC5303,2022-03-19
1389DE183A8047919FD0A5C904CF72C5,2022-03-17
3D316EB155AF4278A10422484935643B,2022-08-22
B7E44BE30C374E92BADF6C74885FBD45,2022-08-22
CEA71B31153849CBA651E0D9B639C86F,2022-08-22
485F5677B95E4DB091B81755F0E48274,2022-08-21
2EBD1C9D16B1461FA6E48316768BBB9A,2022-08-20
869EBD8592994CCD84E7E06C0491A10B,2022-08-20
C6173F46B5794A879B4DA59579A9E1FA,2022-08-23
D475E9CC541F418099315DB24CC7CB44,2022-08-22
C352886A1AE44668994747FB690EC1A6,2022-08-22
5AF1C5E6C66C4F1B8D329D7D3F4FC362,2022-08-22
639612864D3F4437A8ABBD1DA4DC6F5A,2022-11-20
152771E6BB6842C78DAA3BD54D28EC93,2022-11-22
B404584C3F0948E8BC37813AE2BBF7A4,2022-11-24
22D3B279828A42B28D7427BF3C7CEA67,2022-11-24
E60E7C94C54C45F79020DA43DB66F663,2022-11-18
2DBB8759A728420B919EA827BB7E5452,2023-03-26
E6F1F41AA10540D7A007CA192C44F88E,2023-03-26
66D864C8375C41EFB72FC329A044FE08,2023-03-26
69A59B0D71DF44BD86FA58B583C56357,2023-03-27
C298BF5D5327464E9FB70D53AD4A7AD8,2023-03-26
2779C390A6CD444EB42C3375F5DFACA1,2023-02-10
93B2AEE9BDCD49849BCD39A580592219,2023-02-10
4858738981574558BABA68184CC82D9C,2023-07-27
596DF6C4B9E949F99878021701DCF97E,2023-07-27
D88F21E3AB2141028EDC5E5988FF82D6,2011-09-11
