Enersight Well name,Pad,Fault Block,Prod_name,,,,,
Well b-B34-H,b-34-H Pad,MFB,b-B34-H/94-B-8 - T2 - PnP - S,,,,,
Well b-34-H,b-34-H Pad,MFB,b-34-H/94-B-8 - C4 - PnP - S,,,,,
Well b-C34-H,b-34-H Pad,MFB,b-C34-H/94-B-8 - C2 - NCS - S,,,,,
Well b-D34-H,b-34-H Pad,MFB,b-D34-H/94-B-8 - T2 - PnP - S,,,,,
Well b-E34-H,b-34-H Pad,MFB,b-E34-H/94-B-8 - C4 - NCS - S,,,,,
Well b-F34-H,b-34-H Pad,MFB,b-F34-H/94-B-8 - C2 - PnP - S,,,,,
Well b-E74-A,b-74-A Pad,MFB,b-E74-A/94-B-8 - T2 - NCS - S,,,,,
Well b-H74-A,b-74-A Pad,MFB,b-H74-A/94-B-8 - C4 - NCS - S,,,,,
Well b-I74-A,b-74-A Pad,MFB,b-I74-A/94-B-8 - C2 - NCS - S,,,,,
Well b-G74-A,b-74-A Pad,MFB,b-G74-A/94-B-8 - C2 - NCS - S,,,,,
Well b-C74-A,b-74-A Pad,MFB,b-C74-A/94-B-8 - C3 - PnP - S,,,,,
Well b-D74-A,b-74-A Pad,MFB,b-D74-A/94-B-8 - C5 - PnP - S,,,,,
Well b-A74-A,b-74-A Pad,MFB,b-A74-A/94-B-8 - T2 - PnP - S,,,,,
Well b-B74-A,b-74-A Pad,MFB,b-B74-A/94-B-8 - C5 - PnP - S,,,,,
Well c-74-A,b-74-A Pad,MFB,c-74-A/94-B-8 - C2 - PnP - N,,,,,
Well c-E74-A,b-74-A Pad,MFB,c-E74-A/94-B-8 - C5 - PnP - N,,,,,
Well c-C74-A,b-74-A Pad,MFB,c-C74-A/94-B-8 - C5 - PnP - N,,,,,
Well c-B74-A,b-74-A Pad,MFB,c-B74-A/94-B-8 - C4 - PnP - N,,,,,
Well c-D74-A,b-74-A Pad,MFB,c-D74-A/94-B-8 - C2 - PnP - N,,,,,
Well b-95-H,b-95-H Pad,NFB,b-95-H/94-B-8 - C4 - NCS - S,,,,,
Well b-A95-H,b-95-H Pad,NFB,b-A95-H/94-B-8 - C2 - NCS - S,,,,,
Well b-B95-H,b-95-H Pad,NFB,b-B95-H/94-B-8 - C4 - PnP - N,,,,,
Well b-C95-H,b-95-H Pad,NFB,b-C95-H/94-B-8 - C2 - PnP - N,,,,,
Well b-E95-H,b-95-H Pad,NFB,b-E95-H/94-B-8 - C4 - PnP - N,,,,,
Well b-F95-H,b-95-H Pad,NFB,b-F95-H/94-B-8 - C2 - PnP - N,,,,,
Well b-D95-H,b-95-H Pad,NFB,b-D95-H/94-B-8 - C4 - PnP - N,,,,,
Well b-G95-H,b-95-H Pad,NFB,b-G95-H/94-B-8 - T3 - PnP - N,,,,,
Well b-H95-H,b-95-H Pad,NFB,b-H95-H/94-B-8 - T2 - PnP - N,,,,,
Well b-I95-H,b-95-H Pad,NFB,b-I95-H/94-B-8 - T2U - PnP - N,,,,,
Well b-J95-H,b-95-H Pad,NFB,b-J95-H/94-B-8 - T2 - PnP - N,,,,,
Well b-K95-H,b-95-H Pad,NFB,b-K95-H/94-B-8 - T3 - PnP - N,,,,,
Well b-L95-H,b-95-H Pad,NFB,b-L95-H/94-B-8 - T2U - PnP - N,,,,,
Well b-M95-H,b-95-H Pad,NFB,b-M95-H/94-B-8 - T2 - PnP - N,,,,,
Well b-C97-A,b-97-A Pad,MFB,b-C97-A/94-B-8 - C3 - PnP - S,,,,,
Well b-A97-A,b-97-A Pad,MFB,b-A97-A/94-B-8 - C3 - PnP - S,,,,,
Well b-B97-A,b-97-A Pad,MFB,b-B97-A/94-B-8 - C5 - PnP - S,,,,,
Well b-97-A,b-97-A Pad,MFB,b-97-A/94-B-8 - T2 - PnP - N,,,,,
Well a-A98-A,b-97-A Pad,MFB,a-A98-A/94-B-8 - C3o - NCS - N,,,,,
Well a-98-A,b-97-A Pad,MFB,a-98-A/94-B-8 - C4 - NCS - N,,,,,
Well a-C98-A,b-97-A Pad,MFB,a-C98-A/94-B-8 - C3o - PnP - N,,,,,
Well a-B98-A,b-97-A Pad,MFB,a-B98-A/94-B-8 - C4 - PnP - N,,,,,
Well c-C14-H,c-14-H Pad,MFB,c-C14-H/94-B-8 - C4 - PnP - S,,,,,
Well c-F17-H,c-17-H Pad,MFB,c-F17-H/94-B-8 - T2 - PnP - S,,,,,
Well c-G17-H,c-17-H Pad,MFB,c-G17-H/94-B-8 - T3 - PnP - S,,,,,
Well c-E17-H,c-17-H Pad,MFB,c-E17-H/94-B-8 - T3 - PnP - S,,,,,
Well c-H17-H,c-17-H Pad,MFB,c-H17-H/94-B-8 - T2 - PnP - S,,,,,
Well c-D17-H,c-17-H Pad,MFB,c-D17-H/94-B-8 - T2 - PnP - S,,,,,
Well c-B17-H,c-17-H Pad,MFB,c-B17-H/94-B-8 - C3 - PnP - N,,,,,
Well c-C17-H,c-17-H Pad,MFB,c-C17-H/94-B-8 - C5 - PnP - N,,,,,
Well c-17-H,c-17-H Pad,MFB,c-17-H/94-B-8 - C2 - PnP - N,,,,,
Well c-A17-H,c-17-H Pad,MFB,c-A17-H/94-B-8 - C5 - PnP - N,,,,,
Well c-I17-H,c-17-H Pad,MFB,c-I17-H/94-B-8 - T3 - PnP - N,,,,,
Well c-J17-H,c-17-H Pad,MFB,c-J17-H/94-B-8 - T2 - PnP - N,,,,,
Well c-D23-H,c-23-H Pad,MFB,c-D23-H/94-B-8 - C2 - PnP - S,,,,,
Well c-E23-H,c-23-H Pad,MFB,c-E23-H/94-B-8 - C4 - NCS - S,,,,,
Well c-F23-H,c-23-H Pad,MFB,c-F23-H/94-B-8 - C2 - PnP - S,,,,,
Well c-C23-H,c-23-H Pad,MFB,c-C23-H/94-B-8 - T2 - PnP - S,,,,,
Well c-23-H,c-23-H Pad,MFB,c-23-H/94-B-8 - C4 - PnP - S,,,,,
Well c-A23-H,c-23-H Pad,MFB,c-A23-H/94-B-8 - C4 - PnP - N,,,,,
Well c-B23-H,c-23-H Pad,MFB,c-B23-H/94-B-8 - C4 - PnP - N,,,,,
Well c-G27-H,c-27-H Pad,MFB,c-G27-H/94-B-8 - C4 - NCS - S,,,,,
Well c-I27-H,c-27-H Pad,MFB,c-I27-H/94-B-8 - C4 - NCS - S,,,,,
Well c-B27-H,c-27-H Pad,MFB,c-B27-H/94-B-8 - C4 - PnP - S,,,,,
Well c-H27-H,c-27-H Pad,MFB,c-H27-H/94-B-8 - T3 - NCS - S,,,,,
Well c-27-H,c-27-H Pad,MFB,c-27-H/94-B-8 - C4 - PnP - N,,,,,
Well c-A27-H,c-27-H Pad,MFB,c-A27-H/94-B-8 - T2 - PnP - N,,,,,
Well c-C27-H,c-27-H Pad,MFB,c-C27-H/94-B-8 - M - PnP - N,,,,,
Well c-D27-H,c-27-H Pad,MFB,c-D27-H/94-B-8 - T2 - PnP - N,,,,,
Well c-E27-H,c-27-H Pad,MFB,C-E27-H/94-B-8 - C4 - NCS - N,,,,,
Well c-F27-H,c-27-H Pad,MFB,c-F27-H/94-B-8 - C2 - NCS - N,,,,,
Well c-29-A,c-29-A Pad,WFB,c-29-A/94-B-8 - C4 - PnP - S,,,,,
Well c-A29-A,c-29-A Pad,WFB,c-A29-A/94-B-8 - C5 - PnP - N,,,,,
Well c-B29-A,c-29-A Pad,WFB,c-B29-A/94-B-8 - T2 - PnP - N,,,,,
Well c-37-H,c-37-H Pad,MFB,c-37-H/94-B-8 - C2 - NCS-PnP - S,,,,,
Well c-F37-H,c-37-H Pad,MFB,c-F37-H/94-B-8 - T3 - PnP - S,,,,,
Well c-G37-H,c-37-H Pad,MFB,c-G37-H/94-B-8 - T2 - PnP - S,,,,,
Well c-A37-H,c-37-H Pad,MFB,c-A37-H/94-B-8 - C4 - NCS - S,,,,,
Well c-B37-H,c-37-H Pad,MFB,c-B37-H/94-B-8 - C4 - NCS - S,,,,,
Well c-C37-H,c-37-H Pad,MFB,c-C37-H/94-B-8 - C2 - PnP - S,,,,,
Well c-D37-H,c-37-H Pad,MFB,c-D37-H/94-B-8 - C4 - NCS - S,,,,,
Well c-E37-H,c-37-H Pad,MFB,c-E37-H/94-B-8 - T2 - PnP - S,,,,,
Well c-E44-H,c-44-H Pad,NFB,c-E44-H/94-B-8 - C4 - NCS - N,,,,,
Well c-44-H,c-44-H Pad,NFB,c-44-H/94-B-8 - C4 - PnP - N,,,,,
Well c-D44-H,c-44-H Pad,NFB,c-D44-H/94-B-8 - C2 - NCS - N,,,,,
Well c-A44-H,c-44-H Pad,NFB,c-A44-H/94-B-8 - T3 - PnP - N,,,,,
Well c-C44-H,c-44-H Pad,NFB,c-C44-H/94-B-8 - T2 - PnP - N,,,,,
Well c-B44-H,c-44-H Pad,NFB,c-B44-H/94-B-8 - C4 - PnP - N,,,,,
Well d-4-H,C-4-H Pad,MFB,d-4-H/94-B-8 - C5 - PnP - S,,,,,
Well d-A4-H,C-4-H Pad,MFB,d-A4-H/94-B-8 - C4 - PnP - S,,,,,
Well d-C4-H,C-4-H Pad,MFB,d-C4-H/94-B-8 - C4 - PnP - S,,,,,
Well d-B4-H,C-4-H Pad,MFB,d-B4-H/94-B-8 - C5 - PnP - S,,,,,
Well c-A4-H,C-4-H Pad,MFB,c-A4-H/94-B-8 - C2 - PnP - S,,,,,
Well c-C4-H,C-4-H Pad,MFB,c-C4-H/94-B-8 - T3 - PnP - S,,,,,
Well c-B4-H,C-4-H Pad,MFB,c-B4-H/94-B-8 - T2 - PnP - S,,,,,
Well c-4-H,C-4-H Pad,MFB,c-4-H/94-B-8 - C4 - PnP - S,,,,,
Well c-H4-H,C-4-H Pad,MFB,c-H4-H/94-B-8 - T2 - NCS - N,,,,,
Well c-F4-H,C-4-H Pad,MFB,c-F4-H/94-B-8 - C2 - NCS - N,,,,,
Well c-E4-H,C-4-H Pad,MFB,c-E4-H/94-B-8 - C4 - NCS - N,,,,,
Well d-F4-H,C-4-H Pad,MFB,d-F4-H/94-B-8 - T3 - PnP - N,,,,,
Well c-G4-H,C-4-H Pad,MFB,c-G4-H/94-B-8 - C4 - NCS - N,,,,,
Well c-D4-H,C-4-H Pad,MFB,c-D4-H/94-B-8 - C4 - NCS - N,,,,,
Well d-D4-H,C-4-H Pad,MFB,d-D4-H/94-B-8 - T3 - PnP - N,,,,,
Well d-E4-H,C-4-H Pad,MFB,d-E4-H/94-B-8 - T2 - PnP - N,,,,,
Well c-54-A,c-54-A Pad,MFB,c-54-A/94-B-8 - T2 - PnP - S,,,,,
Well c-B54-A,c-54-A Pad,MFB,c-B54-A/94-B-8 - C4 - PnP - S,,,,,
Well c-C54-A,c-54-A Pad,MFB,c-C54-A/94-B-8 - C2 - PnP - S,,,,,
Well c-E54-A,c-54-A Pad,MFB,c-E54-A/94-B-8 - C4 - PnP - S,,,,,
Well c-D54-A,c-54-A Pad,MFB,c-D54-A/94-B-8 - C5 - NCS - S,,,,,
Well c-A54-A,c-54-A Pad,MFB,c-A54-A/94-B-8 - C5 - PnP - S,,,,,
Well c-A64-H,c-64-H Pad,NFB,c-A64-H/94-B-8 - C4 - PnP - S,,,,,
Well c-B64-H,c-64-H Pad,NFB,c-B64-H/94-B-8 - C4 - PnP - S,,,,,
Well c-C64-H,c-64-H Pad,NFB,c-C64-H/94-B-8 - C4 - PnP - N,,,,,
Well c-64-H,c-64-H Pad,NFB,c-64-H/94-B-8 - C4 - PnP - N,,,,,
Well c-M7-H,c-7-H Pad,MFB,C-M7-H/094-B-08 - T2 - PnP - S,,,,,
Well c-N7-H,c-7-H Pad,MFB,C-N7-H/094-B-08 - T3 - PnP - S,,,,,
Well c-O7-H,c-7-H Pad,MFB,C-O7-H/094-B-08 - T2 - PnP - S,,,,,
Well c-P7-H,c-7-H Pad,MFB,C-P7-H/094-B-08 - T3 - PnP - S,,,,,
Well c-Q7-H,c-7-H Pad,MFB,C-Q7-H/094-B-08 - T2 - PnP - S,,,,,
Well c-R7-H,c-7-H Pad,MFB,C-R7-H/094-B-08 - T3 - PnP - S,,,,,
Well c-F7-H,c-7-H Pad,MFB,c-F7-H/94-B-8 - C4 - PnP - S,,,,,
Well c-G7-H,c-7-H Pad,MFB,c-G7-H/94-B-8 - C5 - PnP - S,,,,,
Well c-H7-H,c-7-H Pad,MFB,c-H7-H/94-B-8 - C2 - PnP - S,,,,,
Well c-I7-H,c-7-H Pad,MFB,c-I7-H/94-B-8 - C4 - PnP - S,,,,,
Well c-E7-H,c-7-H Pad,MFB,c-E7-H/94-B-8 - C5 - PnP - S,,,,,
Well c-J7-H,c-7-H Pad,MFB,C-J7-H/094-B-08 - T3 - PnP - N,,,,,
Well c-K7-H,c-7-H Pad,MFB,C-K7-H/094-B-08 - T2 - PnP - N,,,,,
Well c-L7-H,c-7-H Pad,MFB,C-L7-H/094-B-08 - T3 - PnP - N,,,,,
Well c-D7-H,c-7-H Pad,MFB,c-D7-H/94-B-8 - C5 - PnP - N,,,,,
Well c-C7-H,c-7-H Pad,MFB,c-C7-H/94-B-8 - C4 - PnP - N,,,,,
Well c-B7-H,c-7-H Pad,MFB,c-B7-H/94-B-8 - C5 - PnP - N,,,,,
Well c-A7-H,c-7-H Pad,MFB,c-A7-H/94-B-8 - C4 - PnP - N,,,,,
Well c-K84-A,c-84-A Pad,MFB,c-K84-A/94-B-8 - T3 - PnP - S,,,,,
Well c-G84-A,c-84-A Pad,MFB,c-G84-A/94-B-8 - C4 - NCS - S,,,,,
Well c-J84-A,c-84-A Pad,MFB,c-J84-A/94-B-8 - T2 - PnP - S,,,,,
Well c-D84-A,c-84-A Pad,MFB,c-D84-A/94-B-8 - C4 - NCS - S,,,,,
Well c-E84-A,c-84-A Pad,MFB,c-E84-A/94-B-8 - C2 - NCS - S,,,,,
Well c-F84-A,c-84-A Pad,MFB,c-F84-A/94-B-8 - C4 - NCS - S,,,,,
Well c-H84-A,c-84-A Pad,MFB,c-H84-A/94-B-8 - C5 - PnP - N,,,,,
Well c-I84-A,c-84-A Pad,MFB,c-I84-A/94-B-8 - C4 - PnP - N,,,,,
Well c-A84-A,c-84-A Pad,MFB,c-A84-A/94-B-8 - C4 - PnP - N,,,,,
Well c-84-A,c-84-A Pad,MFB,c-84-A/94-B-8 - C2 - PnP - N,,,,,
Well c-C84-A,c-84-A Pad,MFB,c-C84-A/94-B-8 - C2 - PnP - N,,,,,
